"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"419122815","UNIQUE","ΑΥΤΟΚΙΝΗΤΟ","ΟΝΜ321","10/07/2020","10/01/2021","17675","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","YAMAHA","ΜΟΤΟ","1",44.26,32.89,6.91,573
"31734705","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΑΥΟ965","08/01/2020","08/01/2021","30100","ΑΓΡΙΝΙΟ","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ","PIAGGIO","ΜΟΤΟ","1",108.38,74.09,7.41,380
"32411184","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΗΧ5171","05/09/2020","05/03/2021","10443","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",130.65,89.6,8.96,78
"108776","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΗΧ5171","05/09/2020","05/03/2021","10443","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",2.5,1.81,0.4,78
"661851","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΡΟ2697","14/05/2020","14/05/2021","84400","ΠΑΡΟΣ","ΚΥΚΛΑΔΩΝ","CITROEN","ΕΙΧ","1",22,14.72,0.59,522
"32248452","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΡΟ2697","14/05/2020","14/05/2021","84400","ΠΑΡΟΣ","ΚΥΚΛΑΔΩΝ","CITROEN","ΕΙΧ","1",71.81,49.08,4.91,522
"93412","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΒΑ4058","11/06/2020","11/06/2021","16452","ΑΡΓΥΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","MAZDA","ΕΙΧ","2",5,3.62,0.8,536
"32294583","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΒΑ4058","11/06/2020","11/06/2021","16452","ΑΡΓΥΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","MAZDA","ΕΙΧ","2",231.88,159.03,15.9,536
"73612","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΝΕ1829","30/03/2020","30/09/2020","18451","ΝΙΚΑΙΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","2",2.5,1.81,0.4,297
"1518990","ΑΤΛΑΝΤΙΚΗ ΕΝΩΣΗ","ΑΥΤΟΚΙΝΗΤΟ","ΥΝΕ1829","30/03/2020","30/09/2020","18451","ΝΙΚΑΙΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","2",93.5,61.02,12.81,297
"48210","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΝΕ1829","30/03/2020","30/09/2020","18451","ΝΙΚΑΙΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","2",1.5,1,0.22,297
"626339","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΝΕ1829","30/03/2020","30/09/2020","18451","ΝΙΚΑΙΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","2",11,7.36,0.29,297
"32179922","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΝΕ1829","30/03/2020","30/09/2020","18451","ΝΙΚΑΙΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","2",10.49,9.08,0.91,297
"32049107","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΝΗΕ6124","16/05/2020","16/11/2020","13231","ΠΕΤΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",103.88,71.01,7.1,168
