"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"1424111","ΑΤΛΑΝΤΙΚΗ ΕΝΩΣΗ","ΑΥΤΟΚΙΝΗΤΟ","ΙΕΕ9743","20/07/2020","20/01/2021","15354","ΓΛΥΚΑ ΝΕΡΑ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","1",103,67.25,14.12,294
"606219","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΕΕ9743","20/01/2020","20/07/2020","15354","ΓΛΥΚΑ ΝΕΡΑ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","1",11,7.36,0.29,294
"64518","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΕΕ9743","20/01/2020","20/07/2020","15354","ΓΛΥΚΑ ΝΕΡΑ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","1",2.5,1.81,0.4,294
"32517324","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΖΒ6796","07/12/2020","07/12/2021","13671","ΑΧΑΡΝΕΣ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",201.03,137.87,13.79,264
"128432","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΖΒ6796","07/12/2020","07/12/2021","13671","ΑΧΑΡΝΕΣ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",5,3.62,0.8,264
"80235","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΥΟ2904","14/05/2020","14/08/2020","14452","ΜΕΤΑΜΟΡΦΩΣΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",1.25,0.91,0.2,295
"253485","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΥΟ2904","14/08/2020","14/02/2021","14452","ΜΕΤΑΜΟΡΦΩΣΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",9,6.26,0.19,295
"31860439","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΥΟ2904","14/05/2020","14/08/2020","14452","ΜΕΤΑΜΟΡΦΩΣΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",106.2,72.8,7.28,295
"61211439","GROUPAMA","ΑΥΤΟΚΙΝΗΤΟ","ΙΥΟ2904","14/08/2020","14/02/2021","14452","ΜΕΤΑΜΟΡΦΩΣΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",155.57,110.94,23.17,295
"14495","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΙΥΟ2904","14/08/2020","14/02/2021","14452","ΜΕΤΑΜΟΡΦΩΣΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",9,6.12,0.8,295
"96475","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΒΝ7449","17/07/2020","17/07/2021","17123","ΝΕΑ ΣΜΥΡΝΗ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",5,3.62,0.8,547
"32323729","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΒΝ7449","17/07/2020","17/07/2021","17123","ΝΕΑ ΣΜΥΡΝΗ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",213.01,146.17,14.62,547
"110995","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΗΤ9032","10/09/2020","10/03/2021","14671","ΝΕΑ ΕΡΥΘΡΑΙΑ","ΑΤΤΙΚΗΣ","SKODA",NA,"1",2.5,1.81,0.4,105
