"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","District","Gross","Net","Commissions","id"
"19012914410","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фйг4294","01/03/2017","01/06/2017",NA,NA,66,44.53,8.91,1701
"19012914410","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фйг4294","01/09/2017","01/12/2017",NA,NA,66,44.53,8.91,1701
"7190075295","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","луб2027","11/10/2017","11/04/2018",NA,NA,77.99,52.99,10.6,1864
"7190046846","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","луб1566","07/05/2017","07/11/2017",NA,NA,75.89,51.55,10.31,1864
"9788946","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","фви5782","19/04/2017","19/10/2017","йояыпи","аттийг",167.46,114.85,22.97,1761
"9788946","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","фви5782","19/10/2017","19/04/2018","йояыпи","аттийг",168.15,115.35,23.07,1761
"11618761","GENERALI","аутойимгтым","мщО сУЛБЭКАИО","яяе1617","30/12/2017","30/12/2018","каяиса","каяисгс",264.79,181.41,36.28,1781
"30981029","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","фло2792","23/02/2017","23/05/2017",NA,NA,54.76,37.6,7.52,1705
"19013322575","имтеясакомийа","аутойимгтым","аМАМщЫСГ","бог5050","29/03/2017","29/06/2017",NA,NA,67,45.56,9.11,1705
"19013622162","имтеясакомийа","аутойимгтым","аМАМщЫСГ","бог5050","03/10/2017","03/01/2018",NA,NA,67,45.56,9.11,1705
"213553203","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","бог5050","03/07/2017","03/10/2017",NA,NA,67,45.56,9.11,1705
"7199711874","INTERASCO","аутойимгтым","аМАМщЫСГ","ифл6183","16/01/2017","16/01/2018","йаккихеас","аттийг",286.66,188.96,37.79,382
"213780907","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ффг8687","15/12/2017","15/06/2018",NA,NA,140,95.01,19,535
"213743329","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","луг2846","13/11/2017","13/12/2017","цеяас","кесбоу",20,13.37,2.67,1825
"19013279310","имтеясакомийа","аутойимгтым","аМАМщЫСГ","луй0032","19/05/2017","19/11/2017","лутикгмгс","кесбоу",32,21.31,4.26,11
"7190064483","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","улг6154","08/08/2017","08/02/2018","лутикгмгс","кесбоу",67.33,45.76,9.15,11
"31719007172","ацяотийг асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","улг6154","08/02/2017","08/08/2017","лутикгмгс","кесбоу",70.08,47.81,9.56,11
"213750278","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","луй0032","20/11/2017","20/05/2018","лутикгмгс","кесбоу",32,21.31,4.26,11
"19013273634","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фве2314","14/02/2017","14/05/2017","йояудаккоу","аттийг",49,32.76,6.55,198
"19013273634","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фве2314","14/11/2017","14/02/2018","йояудаккоу","аттийг",49,32.76,6.55,198
"19013273634","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фве2314","14/05/2017","14/08/2017","йояудаккоу","аттийг",49,32.76,6.55,198
"19013273634","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фве2314","14/08/2017","14/11/2017","йояудаккоу","аттийг",49,32.76,6.55,198
"213608359","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ует2082","23/07/2017","23/10/2017","ахгмаиым","аттийг",65,43.63,8.73,424
"P0124048116","AIG","аутойимгтым","аМАМщЫСГ","луг9631","27/10/2017","27/10/2018","паппадос","кесбоу",119.23,88.46,17.69,620
"213306381","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","яо2327","16/02/2017","16/02/2018","паппадос","кесбоу",47,30.85,6.17,620
"19013374377","имтеясакомийа","аутойимгтым","аМАМщЫСГ","угл9605","19/08/2017","19/02/2018","цкужада","аттийг",112,76.15,15.23,1805
"213449431","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фгф9207","16/05/2017","16/11/2017","цкужада","аттийг",134,91.04,18.21,1805
"19013374377","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","угл9605","19/02/2017","19/08/2017","цкужада","аттийг",118,80.13,16.03,1805
"еж6800","суметаияистийг","аутойимгтым","мщО сУЛБЭКАИО","фвй2176","15/12/2017","15/03/2018","лаяйопоуко","аттийг",59,39.44,7.89,1592
"еу5383","суметаияистийг","аутойимгтым","мщО сУЛБЭКАИО","фул3125","03/10/2017","03/01/2018","лаяйопоуко","аттийг",51,34.14,6.83,1592
"213477451","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","луб2929","02/06/2017","02/07/2017","цеяас","кесбоу",20,13.37,2.67,1819
"31331485","имтеяалеяийам","аутойимгтым","мщО сУЛБЭКАИО","флв1421","28/11/2017","28/05/2018","ахгма","аттийг",133.73,91.64,18.33,1838
"7190065841","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","ого0840","21/08/2017","21/08/2018","йаисаяиамг","аттийг",86.52,59.06,11.81,1868
"31339172","имтеяалеяийам","аутойимгтым","мщО сУЛБЭКАИО","фли6736","01/12/2017","01/06/2018","цакатси","аттийг",133.11,91.23,18.25,1839
"P0124017431","AIG","аутойимгтым","аМАМщЫСГ","аим6206","05/07/2017","05/01/2018","ацяимио","аитыкойаямамиа",102.84,76.53,15.31,1763
"P0124017431","AIG","аутойимгтым","аМАМщЫСГ","аим6206","05/01/2017","05/07/2017","ацяимио","аитыкойаямамиа",107.02,79.62,15.92,1763
"31342820","имтеяалеяийам","аутойимгтым","мщО сУЛБЭКАИО","иел7531","01/12/2017","01/12/2018",NA,NA,212,145.22,29.04,254
"7190059765","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","ибт7656","13/07/2017","13/01/2018","лесокоцци","аитыкойаямамиа",80.8,54.88,10.98,381
"213431107","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","улв7974","05/05/2017","05/08/2017",NA,NA,74,49.95,9.99,1722
"7199719157","INTERASCO","аутойимгтым","аМАМщЫСГ","умл7060","18/04/2017","18/10/2017","йояудаккос","аттийг",158.92,104.78,20.96,1739
"6177229","GROUPAMA","пуяос","мщО сУЛБЭКАИО",NA,"17/11/2017","17/11/2018","коутяайи","йояимхоу",104.12,75.43,17.35,1856
"ея1527","суметаияистийг","аутойимгтым","мщО сУЛБЭКАИО","уят3521","05/04/2017","05/07/2017","ламдяа","аттийг",70,48.07,9.61,1676
"яу1361","суметаияистийг","аутойимгтым","аМАМщЫСГ","ием7224","23/08/2017","23/11/2017","ламдяа","аттийг",60.5,41.07,8.21,1676
"яв9801","суметаияистийг","аутойимгтым","аМАМщЫСГ","ием7224","23/11/2017","23/02/2018","ламдяа","аттийг",62,41.55,8.31,1676
"19012838731","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уят3521","05/01/2017","05/04/2017","ламдяа","аттийг",74,50.14,10.03,1676
