N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
2050010346,Eurolife FFH,ΖΩΗΣ,NA,15/06/2022,15/07/2022,ΑΤΤΙΚΗ,51.59,51.38,12.75,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,30/04/2022,31/07/2022,ΑΤΤΙΚΗ,81.73,69.51,14.18,2139
2050010346,Eurolife FFH,ΖΩΗΣ,NA,15/08/2022,15/09/2022,ΑΤΤΙΚΗ,51.59,51.38,12.75,2139
6187148,GROUPAMA,ΖΩΗΣ,NA,20/03/2022,20/09/2022,ΑΤΤΙΚΗ,158.91,136.54,27.85,2139
6192389,GROUPAMA,ΖΩΗΣ,NA,06/06/2022,06/12/2022,ΑΤΤΙΚΗ,300.6,258.3,53.42,2139
19.221808320000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΒΜΟ567,19/08/2022,19/08/2023,ΑΤΤΙΚΗ,60.25,41.41,8.55,2139
6187150,GROUPAMA,ΖΩΗΣ,NA,20/03/2022,20/09/2022,ΑΤΤΙΚΗ,158.91,136.54,27.85,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,05/07/2022,05/10/2022,ΑΤΤΙΚΗ,84.34,71.73,14.65,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/11/2022,24/12/2022,ΑΤΤΙΚΗ,41.19,32.57,4.33,2139
6190417,GROUPAMA,ΖΩΗΣ,NA,21/03/2022,21/06/2022,ΑΤΤΙΚΗ,80.28,68.27,13.92,2139
6194708,GROUPAMA,ΖΩΗΣ,NA,31/10/2022,31/10/2023,ΑΤΤΙΚΗ,326.95,284.31,58.06,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,05/01/2022,05/04/2022,ΑΤΤΙΚΗ,81.73,69.51,14.18,2139
6194867,GROUPAMA,ΖΩΗΣ,NA,31/10/2022,31/10/2023,ΑΤΤΙΚΗ,136.34,118.57,23.71,2139
6187150,GROUPAMA,ΖΩΗΣ,NA,20/09/2022,20/03/2023,ΑΤΤΙΚΗ,163.99,140.91,28.77,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,31/01/2022,30/04/2022,ΑΤΤΙΚΗ,81.73,69.51,14.18,2139
6193004,GROUPAMA,ΖΩΗΣ,NA,20/07/2022,20/07/2023,ΑΤΤΙΚΗ,136.34,118.57,23.71,2139
6189695,GROUPAMA,ΖΩΗΣ,NA,13/01/2022,13/01/2023,ΑΤΤΙΚΗ,136.34,118.57,23.71,2139
6187151,GROUPAMA,ΖΩΗΣ,NA,20/09/2022,20/09/2023,ΑΤΤΙΚΗ,136.36,118.57,23.71,2139
2050010346,Eurolife FFH,ΖΩΗΣ,NA,15/09/2022,15/10/2022,ΑΤΤΙΚΗ,51.59,51.38,12.75,2139
6187149,GROUPAMA,ΖΩΗΣ,NA,20/09/2022,20/09/2023,ΑΤΤΙΚΗ,136.36,118.57,23.71,2139
2050010346,Eurolife FFH,ΖΩΗΣ,NA,15/10/2022,15/11/2022,ΑΤΤΙΚΗ,51.59,51.38,12.75,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/08/2022,24/09/2022,ΑΤΤΙΚΗ,41.19,32.57,4.33,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/09/2022,24/10/2022,ΑΤΤΙΚΗ,41.19,32.57,4.33,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/05/2022,24/06/2022,ΑΤΤΙΚΗ,41.19,32.57,4.33,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/04/2022,24/05/2022,ΑΤΤΙΚΗ,41.19,32.57,4.33,2139
19015931359,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,29/12/2022,29/03/2023,ΑΤΤΙΚΗ,91,61.62,13.55,1859
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/03/2022,24/06/2022,ΑΤΤΙΚΗ,84,57.06,12.56,1859
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/06/2022,24/09/2022,ΑΤΤΙΚΗ,84,57.06,12.56,1859
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/09/2022,24/12/2022,ΑΤΤΙΚΗ,90,60.78,13.37,1859
21887153,ALLIANZ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΑΚ3993,06/02/2022,06/02/2023,ΗΛΕΙΑΣ,171.75,122.76,23.32,2026
90121203,ΕΘΝΙΚΗ Ασφαλιστική,ΠΥΡΟΣ,NA,24/06/2022,24/06/2023,NA,242.14999999999998,182.79999999999998,0,2131
11760987,GENERALI,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,19/02/2022,19/08/2022,NA,115.06,87,18.27,2131
11760987,GENERALI,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,19/08/2022,19/02/2023,NA,115.06,87,18.27,2131
30144598,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΟ4029,02/10/2022,02/10/2023,ΑΤΤΙΚΗ,244.76,167.71,36.9,1891
70078294,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΟΔΙΚΗΣ ΒΟΗΘΕΙΑΣ,ΙΕΕ7954,24/11/2022,24/11/2023,ΑΤΤΙΚΗ,36,26.08,6.52,636
70076402,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΟΔΙΚΗΣ ΒΟΗΘΕΙΑΣ,ΥΜΕ6273,18/10/2022,18/10/2023,ΑΤΤΙΚΗ,36,26.08,6.52,1925
31350710,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΜΕ6273,09/12/2022,09/12/2023,ΑΤΤΙΚΗ,128.44,87.65,19.28,1925
19014193732,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΡΙΝ0581,05/08/2022,05/02/2023,NA,27,17.87,3.94,1152
61404065,GROUPAMA,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΝ5616,27/10/2022,27/04/2023,ΑΤΤΙΚΗ,149.33,106.86,21.33,2506
022-2446,LLOYDS,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,24/09/2022,24/03/2023,ΑΤΤΙΚΗ,100,82.82,14.91,1811
19015504682,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΡΧ1135,15/05/2022,15/11/2022,ΑΤΤΙΚΗ,121,81.83,17.99,1811
35060,LLOYDS,ΠΥΡΟΣ,NA,24/09/2022,24/03/2023,ΑΤΤΙΚΗ,212.51,175.22,31.54,1811
022-2446,LLOYDS,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,24/03/2022,24/09/2022,ΑΤΤΙΚΗ,100,82.82,14.91,1811
35060,LLOYDS,ΠΥΡΟΣ,NA,24/03/2022,24/09/2022,ΑΤΤΙΚΗ,212.51,175.22,31.54,1811
19015504682,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΡΧ1135,15/11/2022,15/05/2023,ΑΤΤΙΚΗ,126,84.9,18.67,1811
19012954730,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΧ9746,29/03/2022,29/09/2022,NA,119,80.62,17.75,1071
19015457611,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΕΜΗ8727,21/09/2022,21/09/2023,ΚΥΚΛΑΔΩΝ,150,100.81,22.18,615
19015572468,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΡΟ1607,24/01/2022,24/04/2022,NA,62,41.9,9.23,2404
19015665743,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΡΟ1607,27/04/2022,27/07/2022,NA,63,42.27,9.31,2404
19015665743,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΡΟ1607,27/07/2022,27/10/2022,NA,63,42.64,9.38,2404
19015665743,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΡΟ1607,27/10/2022,27/01/2023,NA,64,43.41,9.55,2404
6168265,GROUPAMA,ΠΥΡΟΣ,NA,11/08/2022,11/08/2023,ΑΤΤΙΚΗ,98.39,71.27,19.96,1913
6177815,GROUPAMA,ΠΥΡΟΣ,NA,16/06/2022,16/12/2022,ΑΤΤΙΚΗ,75.39,54.6,15.29,2013
31342820,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΕΜ7531,01/12/2022,01/12/2023,ΑΤΤΙΚΗ,244.69,167.55,36.86,2013
6177815,GROUPAMA,ΠΥΡΟΣ,NA,16/12/2022,16/06/2023,ΑΤΤΙΚΗ,75.39,54.6,15.29,2013
19.224689600000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΟΝ466,03/09/2022,03/09/2023,ΑΤΤΙΚΗ,91.81,63.07,12.98,1625
19.222735549999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΤΗ623,05/07/2022,05/01/2023,ΛΕΣΒΟΥ,33,22.67,4.68,2252
19.222735549999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΤΗ623,05/01/2022,05/07/2022,ΛΕΣΒΟΥ,33,22.67,4.68,2252
12124781,GENERALI,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΖΜ0383,27/05/2022,27/05/2023,ΑΤΤΙΚΗ,63.45,43.33,8.66,771
70070862,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΟΔΙΚΗΣ ΒΟΗΘΕΙΑΣ,ΑΖΜ0383,27/05/2022,27/05/2023,ΑΤΤΙΚΗ,36,26.08,6.52,771
19014811084,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΟΖ1173,06/01/2022,06/01/2023,ΛΑΣΙΘΙΟΥ,174,117.68,25.89,2094
60991241,GROUPAMA,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΙΝ5237,23/06/2022,23/12/2022,ΑΙΤΩΛΟΚΑΡΝΑΝΙΑ,128.78,92.21,18.07,1392
60991241,GROUPAMA,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΙΝ5237,23/12/2022,23/06/2023,ΑΙΤΩΛΟΚΑΡΝΑΝΙΑ,128.06,91.68,17.99,1392
19015397824,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΖ9237,20/01/2022,20/04/2022,ΑΤΤΙΚΗ,63,42.76,9.41,2396
19015397824,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΖ9237,20/07/2022,20/10/2022,ΑΤΤΙΚΗ,63,42.76,9.41,2396
