"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","Gross","Net","Commissions","id"
"85526","ALLIANZ еуяыпаийг пистг","астийгс еухумгс","аМАМщЫСГ",NA,"27/01/2018","27/01/2019",NA,52,37.68,9.42,1872
"214235626","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фге9073","09/11/2018","09/11/2019",NA,248,168.15,33.63,1009
"19012859150","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифв4354","25/10/2018","25/04/2019",NA,129,87.63,17.53,1702
"19012859150","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифв4354","25/04/2018","25/10/2018",NA,129,87.63,17.53,1702
"19012708806","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффм2819","24/03/2018","24/09/2018","пеияаиас",121,81.75,16.35,1696
"19012708806","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффм2819","24/09/2018","24/03/2019","пеияаиас",121,81.75,16.35,1696
"19012708806","имтеясакомийа","аутойимгтым","п пЯэНГ лЕТАТЯОПчР","ффм2819","24/09/2018","24/03/2019","пеияаиас",9.02,6.17,1.23,1696
"5095241","Eurolife FFH","аутойимгтым","мщО сУЛБЭКАИО","йял3906","23/07/2018","23/01/2019","пк жикопаппоу",100.62,68.94,13.79,1954
"19013526395","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уял3019","20/05/2018","20/05/2019",NA,223,150.69,30.14,1808
"213847822","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","гай3993","06/02/2018","06/02/2019","фаваяы",167,112.94,22.59,1871
"30144598","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уфо4029","02/04/2018","02/10/2018","гкиоупокг",116.04,79.51,15.9,1730
"30144598","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уфо4029","02/10/2018","02/04/2019","гкиоупокг",121.04,82.99,16.6,1730
"31350710","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уле6273","09/12/2018","09/12/2019","йаккихеа",136.46,93.12,18.62,1764
"7190089226","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","яий6470","04/08/2018","04/02/2019","каяиса",80.88,55.36,11.07,933
"7190089226","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","яий6470","04/02/2018","04/08/2018","каяиса",80.87,55.06,11.01,933
"6186278","GROUPAMA","пуяос","мщО сУЛБЭКАИО",NA,"13/11/2018","13/11/2019","ахгмаиым",251.96,182.49,41.97,1965
"19013820326","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффй7207","20/02/2018","20/05/2018","кебадеым",65,44.01,8.8,1207
"19014193732","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","яим0581","05/08/2018","05/08/2019",NA,51,34.26,6.85,1152
"21653768","ALLIANZ","аутойимгтым","мщО сУЛБЭКАИО","иоо3553","03/10/2018","03/01/2019",NA,117.47,78.66,14.95,457
"19012954730","имтеясакомийа","аутойимгтым","аМАМщЫСГ","флв9746","29/03/2018","29/09/2018",NA,121,81.78,16.36,1071
"19012954730","имтеясакомийа","аутойимгтым","аМАМщЫСГ","флв9746","29/09/2018","29/03/2019",NA,119,80.62,16.12,1071
"1416390","аткамтийг емысг","аутойимгтым","мщО сУЛБЭКАИО","елг8714","12/06/2018","12/12/2018","паяос",74,48.08,9.62,615
"214114666","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","лом0060","27/07/2018","27/01/2019","паяос",35,23.23,4.65,615
"1417962","аткамтийг емысг","аутойимгтым","аМАМщЫСГ","елг8727","21/12/2018","21/03/2019","паяос",48.5,30.59,6.12,615
"1417962","аткамтийг емысг","аутойимгтым","аМАМщЫСГ","елг8727","21/09/2018","21/12/2018","паяос",48.5,30.59,6.12,615
"1416390","аткамтийг емысг","аутойимгтым","аМАМщЫСГ","елг8714","12/12/2018","12/06/2019","паяос",74,48.12,9.62,615
"1417962","аткамтийг емысг","аутойимгтым","мщО сУЛБЭКАИО","елг8727","21/06/2018","21/09/2018","паяос",48.5,30.56,6.11,615
"214131309","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ефб0083","09/08/2018","09/02/2019","паяос",49,33.17,6.63,615
"214131310","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ефб0084","09/08/2018","09/02/2019","паяос",49,33.17,6.63,615
"6168265","GROUPAMA","пуяос","аМАМщЫСГ",NA,"11/08/2018","11/08/2019","йаккихеа",98.39,71.27,17.1,1752
"9000242017","ERGO A.A.E.Z","аутойимгтым","аМАМщЫСГ","оеи545","26/08/2018","26/08/2019","ахгма",86,59.67,11.56,69
"6177815","GROUPAMA","пуяос","аМАМщЫСГ",NA,"16/12/2018","16/06/2019","дажмг",75.39,54.6,12.56,1857
"6177815","GROUPAMA","пуяос","аМАМщЫСГ",NA,"16/06/2018","16/12/2018","дажмг",75.39,54.6,12.56,1857
"31342820","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","иел7531","01/12/2018","01/12/2019","дажмг",222.04,152.08,30.42,1857
"213809185","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фгф5997","08/01/2018","08/02/2018",NA,28,18.67,3.73,1939
"19012618337","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фум4248","24/07/2018","24/01/2019",NA,132,89.25,17.85,1130
"19012618337","имтеясакомийа","аутойимгтым","п пЯэНГ лЕТАТЯОПчР","фум4248","24/01/2018","24/07/2018",NA,12.74,8.79,1.76,1130
"19012618337","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фум4248","24/01/2018","24/07/2018",NA,119,80.36,16.07,1130
"214084239","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","иоф1173","06/07/2018","06/01/2019","меапокг йягтгс",108,72.83,14.57,1944
"214147914","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уяг9794","27/08/2018","27/09/2018",NA,21,14.07,2.81,1947
"60991241","GROUPAMA","аутойимгтым","аМАМщЫСГ","аим5237","23/12/2018","23/06/2019",NA,128.06,91.68,16.48,1393
"60991241","GROUPAMA","аутойимгтым","мщО сУЛБЭКАИО","аим5237","23/06/2018","23/12/2018",NA,128.78,92.21,16.57,1393
"19.21326965","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","бвт0763","23/10/2018","23/04/2019","ахгма",54.73,37.76,7.93,1713
"19.21326965","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","бвт0763","23/04/2018","23/10/2018","ахгма",54.73,37.76,7.93,1713
"11707505","GENERALI","фыгс","аМАМщЫСГ",NA,"12/11/2018","12/12/2018",NA,19.42,15.59,3.63,1437
"11707505","GENERALI","фыгс","аМАМщЫСГ",NA,"12/10/2018","12/11/2018",NA,19.42,15.59,3.63,1437
"11707505","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"12/09/2018","12/10/2018",NA,19.42,15.59,3.63,1437
"11547511","GENERALI","аутойимгтым","аМАМщЫСГ","ате8900","11/06/2018","11/06/2019",NA,155.71,106.71,21.34,1070
"5200232588","EUROP  ASSISTANCE","одийгс богхеиас","аМАМщЫСГ","ффя7655","12/06/2018","12/06/2019","йакабяута-аваиас",29,25.22,6.31,1849
NA,"AIG","аутойимгтым","аМАМщЫСГ","ффя7655","12/06/2018","12/06/2019","йакабяута-аваиас",198.54,148.22,29.64,1849
NA,"AIG","аутойимгтым","аМАМщЫСГ","афл2236","17/10/2018","17/04/2019",NA,49.24,37.1,7.42,1734
NA,"AIG","аутойимгтым","аМАМщЫСГ","афл2236","17/04/2018","17/10/2018",NA,48.45,36.5,7.3,1734
"294824","DAS","молийгс пяостасиас","аМАМщЫСГ","иет 3718","23/09/2018","23/09/2019","цеяайас",23,18.18,5.45,1278
"214230753","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фйф5328","02/11/2018","02/11/2019",NA,247,167.21,33.44,625
NA,"AIG","аутойимгтым","аМАМщЫСГ","улл5071","01/07/2018","01/07/2019","тяипокг",185.29,137.92,27.58,1233
"50859404","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","илу5918","28/07/2018","28/01/2019",NA,1.83,1.59,0.11,1751
"50859404","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","илу5918","28/01/2018","28/07/2018",NA,220.53,157.35,36.19,1751
"50859404","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","илу5918","28/07/2018","28/01/2019",NA,220.53,157.35,36.19,1751
"50859404","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","илу5918","28/01/2018","28/07/2018",NA,1.83,1.59,0.11,1751
"1348970","аткамтийг емысг","аутойимгтым","аМАМщЫСГ","итл7704","06/07/2018","06/10/2018","йаккихеа",60,38.11,7.62,1786
"99851","LLOYDS","танидиытийо атувгла","мщО сУЛБЭКАИО",NA,"11/05/2018","01/06/2018","йаккихеа",168.4,146.43,30.75,1786
"213938551","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фйа4205","15/04/2018","15/04/2019","лекиссиым",259,175.5,35.1,734
"19.21340974","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","фйм257","08/11/2018","08/05/2019","йеяатеа",48.11,33.18,6.97,1919
"19.21340974","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","фйм257","08/05/2018","08/11/2018","йеяатеа",48.11,33.18,6.97,1919
"214246155","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ффу8513","14/11/2018","14/12/2018","цакатси",24,16.06,3.21,1491
"70032035","имтеяалеяийам","одийгс богхеиас","мщО сУЛБЭКАИО","ффу8513","15/10/2018","15/04/2019","цакатси",19,13.76,3.44,1491
"19014236306","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффу8513","13/10/2018","13/11/2018","цакатси",24,16.06,3.21,1491
"214168528","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ффу8513","13/09/2018","13/10/2018","цакатси",24,16.06,3.21,1491
"19013511162","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифл8220","11/05/2018","11/05/2019",NA,246,166.68,33.34,763
"19013931451","имтеясакомийа","аутойимгтым","п пЯэНГ лЕТАТЯОПчР","уяф4668","19/02/2018","19/02/2019",NA,28.36,19.18,3.84,475
"213862514","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уяф4668","19/02/2018","19/02/2019",NA,213,144.76,28.95,475
"6185823","GROUPAMA","пуяос","мщО сУЛБЭКАИО",NA,"03/11/2018","03/11/2019",NA,110.05,79.7,18.33,1964
"19.21385437","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","оое0927","02/07/2018","02/10/2018","пеяистеяи",53.42,36.83,7.73,575
"31148345","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","фвб7275","30/04/2018","30/10/2018","паккгмг",127.57,87.29,17.46,1767
"31148345","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","фвб7275","30/10/2018","30/04/2019","паккгмг",132.57,90.71,18.14,1767
"11596339","GENERALI","аутойимгтым","аМАМщЫСГ","бе8515","27/10/2018","27/10/2019","ахгма",58.37,39.81,7.96,606
"59767186","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","ибт7153","08/02/2018","08/08/2018",NA,133.52,95.2,21.9,691
"59767186","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","ибт7153","08/08/2018","08/02/2019",NA,129.77,92.55,21.29,691
"59767186","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","ибт7153","08/02/2018","08/08/2018",NA,20.91,18.18,1.27,691
"59767186","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","ибт7153","08/08/2018","08/02/2019",NA,20.91,18.18,1.27,691
"61067281","GROUPAMA","аутойимгтым","мщО сУЛБЭКАИО","иум2297","29/11/2018","29/05/2019","алаяоусиоу",159.76,114.15,20.98,1962
"31144764","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","ифг4095","01/11/2018","01/11/2019","ахгма",226.42,155.16,31.03,1716
"31144764","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","ифг4095","01/05/2018","01/11/2018","ахгма",119.65,81.99,16.4,1716
"7190087423","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","яиг3342","28/01/2018","28/01/2019",NA,130.56,89.02,17.8,463
"213842880","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фгу3106","01/02/2018","01/08/2018",NA,126,84.83,16.97,33
"19013847375","имтеясакомийа","аутойимгтым","аМАМщЫСГ","мфб8395","14/03/2018","14/06/2018",NA,68,45.99,9.2,496
"19014163770","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уия7297","13/10/2018","13/01/2019",NA,53,35.71,7.14,445
"214095309","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уия7297","13/07/2018","13/10/2018",NA,53,35.71,7.14,445
"7190083944","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","луе8352","18/09/2018","18/12/2018","пкылаяи",39.3,26.87,5.37,1018
"7190083944","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","луе8352","18/06/2018","18/09/2018","пкылаяи",38.99,26.49,5.3,1018
"7190083944","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","луе8352","18/12/2018","18/03/2019","пкылаяи",39.67,27.13,5.43,1018
"7190083944","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","луе8352","18/03/2018","18/06/2018","пкылаяи",38.95,26.46,5.29,1018
"1411560","аткамтийг емысг","аутойимгтым","мщО сУЛБЭКАИО","втм745","22/05/2018","22/05/2019","гяайкеио",164.5,110.65,22.13,525
"31331486","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","ибл3676","06/12/2018","06/12/2019",NA,193.83,132.8,26.56,1759
"31276349","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","оал132","13/09/2018","13/09/2019",NA,110.66,76.15,15.23,1759
"8170006892","еуяыпг аеца","пуяос","аМАМщЫСГ",NA,"31/12/2018","31/12/2019",NA,100.61,69.69,16.38,1759
"7179800187","INTERASCO","пуяос","аМАМщЫСГ",NA,"01/01/2018","01/01/2019",NA,143.43,96.81,25.17,1759
"2048170423","ERGO A.A.E.Z","аутойимгтым","мщО сУЛБЭКАИО","алу0717","25/04/2018","25/10/2018","лутикгмг",49,33.86,7.45,418
"2048170423","ERGO A.A.E.Z","аутойимгтым","аМАМщЫСГ","алу0717","25/10/2018","25/01/2019","лутикгмг",26,17.84,3.92,418
"7190097739","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","луф6150","04/04/2018","04/10/2018","лутикгмг",70.68,48.02,9.6,418
"7190097739","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","луф6150","05/10/2018","05/04/2019","лутикгмг",72.81,49.78,9.96,418
"5092688","Eurolife FFH","аутойимгтым","мщО сУЛБЭКАИО","лтм404","07/07/2018","07/01/2019","лутикгмг",33.32,22.83,4.57,418
"7190115594","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","луф8585","12/12/2018","12/12/2019","паппадос",133.37,91.2,18.24,621
"19012682182","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фгт7017","07/03/2018","07/09/2018",NA,132,89.66,17.93,30
"19012682182","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фгт7017","07/09/2018","07/03/2019",NA,131,88.5,17.7,30
"11644327","GENERALI","аутойимгтым","мщО сУЛБЭКАИО","вая1954","09/03/2018","09/03/2019","акибеяи",187.38,128.32,25.66,404
"31229540","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уло8029","19/08/2018","19/08/2019",NA,263.59,180.69,36.14,1833
"30457374","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","аил2627","05/03/2018","05/09/2018",NA,156.05,106.96,21.39,1733
"30457374","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","аил2627","05/09/2018","05/03/2019",NA,156.65,107.38,21.48,1733
"19013743844","имтеясакомийа","аутойимгтым","аМАМщЫСГ","аиу0026","21/09/2018","21/09/2019",NA,60,40.64,8.13,1733
"30591690","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","аил7512","24/07/2018","24/07/2019",NA,211.29,144.74,28.95,1733
"30613234","имтеяалеяийам","пуяос","аМАМщЫСГ",NA,"12/01/2018","12/01/2019",NA,84.78,63.86,11.54,1733
"31294198","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","ффф9490","05/10/2018","05/04/2019","икиом",109.25,74.91,14.98,1697
"31294198","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","ффф9490","05/04/2018","05/10/2018","икиом",104.25,71.46,14.29,1697
"19.21359249","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","игй0188","30/05/2018","30/11/2018","ахгма",45.79,31.57,6.63,76
"19.21359249","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","игй0188","30/11/2018","30/05/2019","ахгма",45.79,31.57,6.63,76
"7199801829","INTERASCO","аутойимгтым","аМАМщЫСГ","илл1627","18/01/2018","18/01/2019","ахгма",311.23,204.96,40.99,1124
"11458633","GENERALI","астийгс еухумгс","аМАМщЫСГ",NA,"08/11/2018","08/11/2019","ахгма",146.51,110.78,25.48,1680
"31366819","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","авв9676","30/12/2018","30/12/2019","патяа",155.6,106.77,21.35,1842
"31344423","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","умм3290","06/12/2018","06/12/2019","йеяатсими",317.51,217.71,43.54,827
"11649520","GENERALI","фыгс","аМАМщЫСГ",NA,"22/06/2018","22/07/2018","гяайкеио",23.32,18.44,3.13,1889
"11649520","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"22/03/2018","22/04/2018","гяайкеио",58.05,18.44,3.13,1889
"11649520","GENERALI","фыгс","аМАМщЫСГ",NA,"22/08/2018","22/09/2018","гяайкеио",23.32,18.44,3.13,1889
"11662416","GENERALI","фыгс","аМАМщЫСГ",NA,"27/10/2018","27/11/2018","гяайкеио",38.14,30.49,7.72,1889
"11649523","GENERALI","фыгс","аМАМщЫСГ",NA,"22/04/2018","22/05/2018","гяайкеио",24.67,19.51,3.31,1889
"11649520","GENERALI","фыгс","аМАМщЫСГ",NA,"22/07/2018","22/08/2018","гяайкеио",23.64,18.44,3.13,1889
"11662416","GENERALI","фыгс","п пЯэНГ лЕТАТЯОПчР",NA,"27/04/2018","27/06/2018","гяайкеио",8.88,7.02,1.83,1889
"11649523","GENERALI","фыгс","аМАМщЫСГ",NA,"22/05/2018","22/06/2018","гяайкеио",24.67,19.51,3.31,1889
"11662416","GENERALI","фыгс","аМАМщЫСГ",NA,"27/11/2018","27/12/2018","гяайкеио",38.14,30.49,7.72,1889
"11649523","GENERALI","фыгс","аМАМщЫСГ",NA,"22/06/2018","22/07/2018","гяайкеио",24.67,19.51,3.31,1889
"11649523","GENERALI","фыгс","аМАМщЫСГ",NA,"22/07/2018","22/08/2018","гяайкеио",25.01,19.51,3.31,1889
"11649520","GENERALI","фыгс","аМАМщЫСГ",NA,"22/05/2018","22/06/2018","гяайкеио",23.32,18.44,3.13,1889
"11649520","GENERALI","фыгс","аМАМщЫСГ",NA,"22/12/2018","22/01/2019","гяайкеио",23.32,18.44,3.13,1889
"11649523","GENERALI","фыгс","аМАМщЫСГ",NA,"22/08/2018","22/09/2018","гяайкеио",24.67,19.51,3.31,1889
"11649520","GENERALI","фыгс","аМАМщЫСГ",NA,"22/04/2018","22/05/2018","гяайкеио",23.32,18.44,3.13,1889
"11662416","GENERALI","фыгс","аМАМщЫСГ",NA,"27/09/2018","27/10/2018","гяайкеио",38.14,30.49,7.72,1889
"11662416","GENERALI","фыгс","аМАМщЫСГ",NA,"27/08/2018","27/09/2018","гяайкеио",38.14,30.49,7.72,1889
"11662416","GENERALI","фыгс","аМАМщЫСГ",NA,"27/07/2018","27/08/2018","гяайкеио",38.14,30.49,7.72,1889
"11662416","GENERALI","фыгс","аМАМщЫСГ",NA,"27/12/2018","27/01/2019","гяайкеио",38.14,30.49,7.72,1889
"11662416","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"27/04/2018","27/05/2018","гяайкеио",33.7,26.98,6.8,1889
"11649523","GENERALI","фыгс","аМАМщЫСГ",NA,"22/09/2018","22/10/2018","гяайкеио",24.67,19.51,3.31,1889
"11662416","GENERALI","фыгс","аМАМщЫСГ",NA,"27/05/2018","27/06/2018","гяайкеио",33.7,26.98,6.8,1889
"11662416","GENERALI","фыгс","аМАМщЫСГ",NA,"27/06/2018","27/07/2018","гяайкеио",38.14,30.49,7.72,1889
"11649523","GENERALI","фыгс","аМАМщЫСГ",NA,"22/12/2018","22/01/2019","гяайкеио",24.67,19.51,3.31,1889
"11649520","GENERALI","фыгс","аМАМщЫСГ",NA,"22/09/2018","22/10/2018","гяайкеио",23.32,18.44,3.13,1889
"11649523","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"22/03/2018","22/04/2018","гяайкеио",59.4,19.51,3.31,1889
"19.21392974","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","ля909","10/07/2018","10/10/2018","сакалима",28.93,19.94,4.19,1922
"19.21392974","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","ля909","10/10/2018","10/01/2019","сакалима",28.93,19.94,4.19,1922
"19.21193033","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","иоу286","07/11/2018","07/05/2019",NA,46.46,32.04,6.73,562
"19.21193033","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","иоу286","07/05/2018","07/11/2018",NA,46.46,32.04,6.73,562
"30604914","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","игг1030","30/07/2018","30/07/2019","ахгма",302.08,207.01,41.4,1736
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/05/2018","04/06/2018","ахгма",22.93,18.13,2.71,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/12/2018","06/01/2019","ахгма",30.92,24.99,5.32,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/06/2018","04/07/2018","ахгма",22.93,18.13,2.71,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/03/2018","04/04/2018","ахгма",22.93,18.13,2.54,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/04/2018","04/05/2018","ахгма",22.93,18.13,2.71,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/10/2018","06/11/2018","ахгма",30.92,24.99,5.32,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/11/2018","06/12/2018","ахгма",30.92,24.99,5.32,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/01/2018","04/02/2018","ахгма",22.93,18.13,2.54,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/09/2018","04/10/2018","ахгма",23.73,18.77,2.62,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/06/2018","06/07/2018","ахгма",30.92,24.99,5.32,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/08/2018","04/09/2018","ахгма",23.73,18.77,2.62,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/07/2018","04/08/2018","ахгма",24.05,18.77,2.62,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/08/2018","06/09/2018","ахгма",30.92,24.99,5.32,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/07/2018","06/08/2018","ахгма",31.17,24.99,5.32,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/09/2018","06/10/2018","ахгма",30.92,24.99,5.32,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/02/2018","04/03/2018","ахгма",22.93,18.13,2.72,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/10/2018","04/11/2018","ахгма",23.73,18.77,2.63,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/01/2018","06/02/2018","ахгма",29.19,23.58,5.98,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/05/2018","06/06/2018","ахгма",30.92,24.99,5.32,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/11/2018","04/12/2018","ахгма",23.73,18.77,2.63,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/03/2018","06/04/2018","ахгма",29.19,23.58,5.98,504
"11399357","GENERALI","фыгс","аМАМщЫСГ",NA,"04/12/2018","04/01/2019","ахгма",23.73,18.77,2.63,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/04/2018","06/05/2018","ахгма",30.92,24.99,5.32,504
"19012624166","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уго5242","02/02/2018","02/02/2019","ахгма",228,154.27,30.85,504
"11522969","GENERALI","фыгс","аМАМщЫСГ",NA,"06/02/2018","06/03/2018","ахгма",29.19,23.58,5.98,504
"19.21371784","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","ибм0162","14/06/2018","14/07/2018","леталояжысг аттийгс",27.92,19.26,4.04,1920
"3190139275","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","фйи848","08/06/2018","08/12/2018",NA,64.35,44.14,7.63,623
"6183108","GROUPAMA","пуяос","мщО сУЛБЭКАИО",NA,"11/07/2018","11/01/2019","меас иымиа",53.93,39.06,8.98,717
"9190003644","еуяыпг аеца","аутойимгтым","аМАМщЫСГ","еле3205","22/08/2018","22/08/2019","маноу",130.78,85.81,18.51,67
"7190092032","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","афф0558","23/08/2018","23/02/2019","паппадос",35.69,24.4,4.88,1863
"7190092032","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","афф0558","23/02/2018","23/08/2018","паппадос",34.7,23.62,4.72,1863
"2046527324","ERGO A.A.E.Z","аутойимгтым","аМАМщЫСГ","лул0314","01/09/2018","01/12/2018",NA,20,13.62,3,1745
"2046527324","ERGO A.A.E.Z","аутойимгтым","мщО сУЛБЭКАИО","лул0314","01/03/2018","01/06/2018",NA,20,13.62,3,1745
"2046527324","ERGO A.A.E.Z","аутойимгтым","аМАМщЫСГ","лул0314","01/06/2018","01/09/2018",NA,20,13.62,3,1745
"11123149","думалис","аутойимгтым","аМАМщЫСГ","бв6129","06/01/2018","06/07/2018",NA,128.11,84.08,16.82,1771
"11123149","думалис","аутойимгтым","аМАМщЫСГ","бв6129","06/07/2018","06/01/2019",NA,128.11,84.08,16.82,1771
"59226563","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","ибу2506","25/04/2018","25/07/2018",NA,65.37,46.55,10.71,1850
"59226563","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","ибу2506","25/04/2018","25/07/2018",NA,10.45,9.09,0.64,1850
"59226563","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","ибу2506","25/07/2018","25/10/2018",NA,65.37,46.55,10.71,1850
"59226563","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","ибу2506","25/01/2018","25/04/2018",NA,65.37,46.55,10.71,1850
"59226563","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","ибу2506","25/10/2018","25/01/2019",NA,10.45,9.09,0.64,1850
