"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","Gross","Net","Commissions","id"
"31249921","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","тфб998","24/08/2018","24/02/2019","цакатси",52.03,35.78,7.16,494
"213927637","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","мге6738","02/04/2018","02/10/2018","каяиса",24,16.13,3.23,165
"19013701637","имтеясакомийа","аутойимгтым","аМАМщЫСГ","меа6648","11/02/2018","11/08/2018","каяиса",27,18.15,3.63,165
"7190045674","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","яяа5108","29/04/2018","29/04/2019","каяиса",156.01,106.62,21.32,165
"19013996554","имтеясакомийа","аутойимгтым","аМАМщЫСГ","мге6738","02/10/2018","02/04/2019","каяиса",29,19.51,3.9,165
"11691611","GENERALI","аутойимгтым","мщО сУЛБЭКАИО","афй5579","21/07/2018","21/07/2019",NA,63.45,43.33,8.67,446
"3190137433","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","бвл614","20/04/2018","20/04/2019",NA,95.02,65.18,11.25,336
"19.21433736","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","оги818","07/09/2018","07/09/2019",NA,98.74,68.1,14.3,336
"213840232","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ийт3896","07/02/2018","07/02/2019",NA,226,153.49,30.7,336
"11723772","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"02/11/2018","02/12/2018","цакатси",100.91,52.32,8.89,1898
"11723772","GENERALI","фыгс","аМАМщЫСГ",NA,"02/12/2018","02/01/2019","цакатси",66.18,52.32,8.89,1898
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/07/2018","03/08/2018","йаккихеа",89.76,71,14.58,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/06/2018","03/07/2018","йаккихеа",88.98,71,14.58,440
"4078","суметаияистийг","фыгс","аМАМщЫСГ",NA,"26/03/2018","26/09/2018","йаккихеа",223.8,191.93,32.63,440
"11441611","GENERALI","фыгс","п пЯэНГ лЕТАТЯОПчР",NA,"03/03/2018","03/04/2018","йаккихеа",0.01,0.01,0,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/03/2018","03/04/2018","йаккихеа",88.98,71,14.58,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/05/2018","03/06/2018","йаккихеа",88.98,71,14.58,440
"4078","суметаияистийг","фыгс","аМАМщЫСГ",NA,"26/09/2018","26/03/2019","йаккихеа",223.8,191.93,32.46,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/04/2018","03/05/2018","йаккихеа",88.98,71,0.35,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/02/2018","03/03/2018","йаккихеа",88.98,71,14.58,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/08/2018","03/09/2018","йаккихеа",88.98,71,14.58,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/01/2018","03/02/2018","йаккихеа",88.98,71,14.58,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/12/2018","03/01/2019","йаккихеа",95.07,75.83,15.59,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/11/2018","03/12/2018","йаккихеа",95.07,75.83,15.59,440
"11441611","GENERALI","фыгс","п пЯэНГ лЕТАТЯОПчР",NA,"03/04/2018","03/05/2018","йаккихеа",0.01,0.01,14.23,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/09/2018","03/10/2018","йаккихеа",88.98,71,14.58,440
"11439415","GENERALI","фыгс","аМАМщЫСГ",NA,"29/09/2018","29/03/2019","йаккихеа",100.16,79.21,10.29,440
"11441611","GENERALI","фыгс","аМАМщЫСГ",NA,"03/10/2018","03/11/2018","йаккихеа",95.07,75.83,15.59,440
"11439415","GENERALI","фыгс","аМАМщЫСГ",NA,"29/03/2018","29/09/2018","йаккихеа",136.06,107.59,18.3,440
"19.21261535","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","бвй822","02/05/2018","02/08/2018","лосвато",24.91,17.19,3.61,1462
"19.21261535","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","бвй822","02/08/2018","02/11/2018","лосвато",24.91,17.19,3.61,1462
"19.21261535","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","бвй822","02/02/2018","02/05/2018","лосвато",23.88,16.42,3.45,1462
"213952759","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фйм1356","27/04/2018","27/04/2019",NA,246,166.68,33.34,501
"19.21464936","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","гбв956","19/10/2018","19/10/2019","йаккихеа",143.34,98.84,20.76,667
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/08/2018","07/09/2018","йяуомеяи",60.9,49.17,9.69,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/03/2018","07/04/2018","йяуомеяи",58.28,47.09,9.28,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/06/2018","07/07/2018","йяуомеяи",58.28,47.09,9.28,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/07/2018","07/08/2018","йяуомеяи",61.37,49.17,9.69,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/11/2018","07/12/2018","йяуомеяи",60.9,49.17,9.69,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/09/2018","07/10/2018","йяуомеяи",60.9,49.17,9.69,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/05/2018","07/06/2018","йяуомеяи",58.28,47.09,9.28,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/02/2018","07/03/2018","йяуомеяи",58.28,47.09,9.28,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/12/2018","07/01/2019","йяуомеяи",60.9,49.17,9.69,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/10/2018","07/11/2018","йяуомеяи",60.9,49.17,9.69,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/04/2018","07/05/2018","йяуомеяи",58.28,47.09,9.1,1153
"11401443","GENERALI","фыгс","аМАМщЫСГ",NA,"07/01/2018","07/02/2018","йяуомеяи",58.28,47.09,9.28,1153
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/02/2018","12/03/2018","йаккихеа",50.07,40.09,7.69,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/06/2018","12/07/2018","йаккихеа",50.07,40.09,7.69,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/09/2018","12/10/2018","йаккихеа",53.64,42.91,8.26,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/04/2018","12/05/2018","йаккихеа",50.07,40.09,7.52,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/05/2018","12/06/2018","йаккихеа",50.07,40.09,7.69,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/07/2018","12/08/2018","йаккихеа",50.5,40.09,7.69,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/12/2018","12/01/2019","йаккихеа",53.64,42.91,8.26,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/11/2018","12/12/2018","йаккихеа",53.64,42.91,8.26,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/01/2018","12/02/2018","йаккихеа",50.07,40.09,7.69,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/03/2018","12/04/2018","йаккихеа",50.07,40.09,7.69,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/10/2018","12/11/2018","йаккихеа",53.64,42.91,8.26,938
"11419606","GENERALI","фыгс","аМАМщЫСГ",NA,"12/08/2018","12/09/2018","йаккихеа",53.64,42.91,8.26,938
"7190066132","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","ифо8076","23/02/2018","23/02/2019","патяеым",273.1,186.99,34.92,450
"6168943","GROUPAMA","пуяос","аМАМщЫСГ",NA,"04/10/2018","04/10/2019","пеияаиас",70.33,50.94,12.23,152
"213918463","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","мят0020","28/03/2018","28/09/2018",NA,35,23.23,4.65,1940
"31261270","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","офв635","19/08/2018","19/08/2019","икиом",106.66,73.36,14.67,1834
"11717536","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"15/10/2018","15/10/2019","икиом",237.93,192.09,47.24,1834
"214216517","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","лтм0466","19/10/2018","19/04/2019",NA,38,25.25,5.05,1214
"7190046724","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","луб8843","07/11/2018","07/05/2019",NA,77.67,53.1,10.62,1214
"213952100","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","луе0007","18/04/2018","18/10/2018",NA,38,25.25,5.05,1214
"7190046724","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","луб8843","07/05/2018","07/11/2018",NA,77.26,52.49,10.5,1214
NA,"суметаияистийг","аутойимгтым","мщО сУЛБЭКАИО","уиб5857","04/01/2018","04/04/2018","ахгма",57,37.59,7.52,664
"19.21066948","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","оаб866","05/01/2018","05/07/2018","ахгма",69.9,48.07,10.09,664
NA,"суметаияистийг","аутойимгтым","аМАМщЫСГ","уиб5857","04/10/2018","04/01/2019","ахгма",58,37.59,7.52,664
NA,"суметаияистийг","аутойимгтым","аМАМщЫСГ","уиб5857","04/07/2018","04/10/2018","ахгма",57,37.59,7.52,664
NA,"суметаияистийг","аутойимгтым","аМАМщЫСГ","уиб5857","04/04/2018","04/07/2018","ахгма",57,37.59,7.52,664
"19.21326964","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","ооф0591","23/04/2018","23/04/2019","аттийг",127.66,88.04,18.49,1196
"1447543","аткамтийг емысг","аутойимгтым","мщО сУЛБЭКАИО","вти399","21/11/2018","21/05/2019","ахгма",90.5,59.03,11.81,1041
NA,"суметаияистийг","аутойимгтым","аМАМщЫСГ","уоо8663","09/04/2018","09/07/2018",NA,64,42.83,8.57,1482
NA,"суметаияистийг","аутойимгтым","аМАМщЫСГ","уоо8663","09/07/2018","09/10/2018",NA,64,42.83,8.57,1482
NA,"суметаияистийг","аутойимгтым","аМАМщЫСГ","уоо8663","09/01/2018","09/04/2018",NA,64,42.83,8.57,1482
"7190100628","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","ийф5982","30/10/2018","30/04/2019","екассома-каяисгс",88.46,60.77,12.15,90
"7190100628","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","ийф5982","30/04/2018","30/10/2018","екассома-каяисгс",88.55,60.63,12.13,90
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/12/2018","14/01/2019","гкиоупокг",33.16,26.64,5.14,162
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/09/2018","14/10/2018","гкиоупокг",33.16,26.64,5.14,162
