N_Policy,Company,Category,Char,Started,Expired,District,Gender,Gross,Net,Commissions,id
33982376,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΖΗΕ9073,11/05/2024,10/06/2024,ΑΤΤΙΚΗΣ,1,19.79,13.51,1.49,1009
34020170,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΖΗΕ9073,11/06/2024,11/07/2024,ΑΤΤΙΚΗΣ,1,20.45,13.97,1.54,1009
NA,Hellas Direct,ΑΥΤΟΚΙΝΗΤΟ,ΖΗΕ9073,10/05/2024,10/05/2025,ΑΤΤΙΚΗΣ,1,111.02,95,23.75,1009
275227,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΖΚΗ4561,03/03/2024,03/03/2025,ΑΤΤΙΚΗΣ,1,3,2.01,0.48,1055
32636925,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΖΚΗ4561,03/03/2024,03/03/2025,ΑΤΤΙΚΗΣ,1,182.16,124.54,13.7,1055
738268,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΚΗ4561,03/03/2024,03/03/2025,ΑΤΤΙΚΗΣ,1,5,3.62,0.87,1055
70115094,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΖΚΗ4561,03/03/2024,03/03/2025,ΑΤΤΙΚΗΣ,1,27,19.58,5.09,1055
816272,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΑΖΚ3049,15/06/2024,15/06/2025,ΑΧΑΙΑΣ,1,5,3.62,0.87,1506
33596249,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΑΖΚ3049,15/06/2024,15/06/2025,ΑΧΑΙΑΣ,1,249.35,170.57,18.76,1506
70197486,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΑΖΚ3049,15/06/2024,15/06/2025,ΑΧΑΙΑΣ,1,27,19.58,5.09,1506
684298,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΑΧΜ1013,06/01/2024,06/01/2025,ΑΧΑΙΑΣ,1,5,3.62,0.87,661
259422,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΑΧΜ1013,06/01/2024,06/01/2025,ΑΧΑΙΑΣ,1,3,2.01,0.48,661
966343,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΑΧΜ1013,06/01/2024,06/01/2025,ΑΧΑΙΑΣ,1,24,16.7,4.34,661
33851955,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΑΧΜ1013,06/01/2024,06/01/2025,ΑΧΑΙΑΣ,1,125.42,85.85,9.44,661
33866007,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΑΗΡ5948,01/02/2024,01/02/2025,ΞΑΝΘΗΣ,1,110.79,75.85,8.34,1131
33003850,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΑΗΡ5948,17/01/2024,01/02/2024,ΞΑΝΘΗΣ,1,4.27,2.92,0.32,1131
212380822,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΑΗΡ5948,01/02/2024,01/02/2025,ΞΑΝΘΗΣ,1,27,19.58,3.13,1131
726811,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΑΗΡ5948,01/02/2024,01/02/2025,ΞΑΝΘΗΣ,1,4,2.9,0.38,1131
966820,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΥΗΤ1942,03/01/2024,03/01/2025,ΑΤΤΙΚΗΣ,1,24,16.7,4.34,1112
687888,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΥΗΤ1942,03/01/2024,03/01/2025,ΑΤΤΙΚΗΣ,1,5,3.62,0.87,1112
33410692,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΥΗΤ1942,03/01/2024,03/01/2025,ΑΤΤΙΚΗΣ,1,183.49,125.64,13.82,1112
805841,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΥΝΚ6019,25/04/2024,25/04/2025,ΑΤΤΙΚΗΣ,0,4,2.9,0.38,1778
NA,Hellas Direct,ΑΥΤΟΚΙΝΗΤΟ,ΥΝΚ6019,25/04/2024,25/04/2025,ΑΤΤΙΚΗΣ,0,144.04,124.16,15.52,1778
70163773,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΥΝΚ6019,25/04/2024,25/04/2025,ΑΤΤΙΚΗΣ,0,27,19.58,3.13,1778
507842,HELVETIA Global Solutions Ltd,ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ,ΥΝΚ6019,25/04/2024,25/04/2025,ΑΤΤΙΚΗΣ,0,20,13.59,2.04,1778
