N_Policy,Company,Category,Char,Started,Expired,District,Gender,Gross,Net,Commissions,id
390796,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΗΕ9073,09/11/2022,09/05/2023,ΑΤΤΙΚΗΣ,1,2,1.45,0.19,1009
33323128,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΖΗΕ9073,09/11/2022,09/05/2023,ΑΤΤΙΚΗΣ,1,71.34,48.69,5.36,1009
419215114,UNIQUE,ΑΥΤΟΚΙΝΗΤΟ,ΖΗΕ9073,09/11/2022,09/11/2023,ΑΤΤΙΚΗΣ,1,235.02,190.33,13.32,1009
848998,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΖΗΕ9073,09/11/2022,09/05/2023,ΑΤΤΙΚΗΣ,1,10,6.96,0.31,1009
133162,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΖΚΗ4561,03/03/2022,03/03/2023,ΑΤΤΙΚΗΣ,1,3,2.01,0.44,1055
255536,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΚΗ4561,03/03/2022,03/03/2023,ΑΤΤΙΚΗΣ,1,5,3.62,0.8,1055
32636925,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΖΚΗ4561,03/03/2022,03/03/2023,ΑΤΤΙΚΗΣ,1,168.77,115.41,11.54,1055
588964,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΖΚΗ4561,03/03/2022,03/03/2023,ΑΤΤΙΚΗΣ,1,20,13.91,0.63,1055
32767466,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΖΜΤ7936,30/06/2022,30/06/2023,ΚΟΡΙΝΘΙΑΣ,1,118.54,81.14,8.93,796
674530,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΖΜΤ7936,30/06/2022,30/06/2023,ΚΟΡΙΝΘΙΑΣ,1,20,13.91,0.63,796
296115,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΜΤ7936,30/06/2022,30/06/2023,ΚΟΡΙΝΘΙΑΣ,1,5,3.62,0.87,796
61416249,GROUPAMA,ΑΥΤΟΚΙΝΗΤΟ,ΖΧΜ1638,17/12/2022,17/12/2023,ΑΤΤΙΚΗΣ,0,231.44,165.11,38.35,1158
266269,ETU Forsikring A/S,ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ,ΖΧΜ1638,17/12/2022,17/12/2023,ΑΤΤΙΚΗΣ,0,18,12.23,1.83,1158
