N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
6171305,GROUPAMA,ΖΩΗΣ,NA,05/07/2019,05/07/2020,ΑΤΤΙΚΗ,58.16,43.99,8.36,2139
6172347,GROUPAMA,ΖΩΗΣ,NA,23/09/2019,23/09/2020,ΑΤΤΙΚΗ,58.16,43.99,8.8,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,09/07/2019,09/10/2019,ΑΤΤΙΚΗ,78.11,66.44,16.91,2139
6172320,GROUPAMA,ΖΩΗΣ,NA,23/09/2019,23/09/2020,ΑΤΤΙΚΗ,305.62,265.76,55.81,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,09/10/2019,09/01/2020,ΑΤΤΙΚΗ,78.11,66.44,16.91,2139
6173440,GROUPAMA,ΖΩΗΣ,NA,22/10/2019,22/10/2020,ΑΤΤΙΚΗ,58.16,43.99,8.8,2139
11830812,GENERALI,ΖΩΗΣ,NA,07/10/2019,07/10/2020,ΑΤΤΙΚΗ,647.58,518.1,128.31,2139
6173687,GROUPAMA,ΖΩΗΣ,NA,20/11/2019,20/02/2020,ΑΤΤΙΚΗ,95.01,80.8,16.56,2139
19014301489,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΗΕ9073,09/11/2019,09/11/2020,NA,248,168.15,36.99,1009
19012859150,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΧ4354,25/10/2019,25/04/2020,NA,129,87.63,19.29,1864
19012859150,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΧ4354,25/04/2019,25/10/2019,NA,129,87.63,17.52,1864
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/09/2019,24/03/2020,ΑΤΤΙΚΗ,139,94.15,20.73,1859
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/03/2019,24/09/2019,ΑΤΤΙΚΗ,139,94.15,18.83,1859
19013526395,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΡΜ3019,20/05/2019,20/05/2020,NA,223,150.69,30.13,1970
19013916760,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΑΚ3993,06/02/2019,06/02/2020,ΗΛΕΙΑΣ,186,125.5,25.11,2026
11760987,GENERALI,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,19/08/2019,19/02/2020,NA,115.06,87,18.27,2131
11760987,GENERALI,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,19/02/2019,19/08/2019,NA,115.06,87,20.01,2131
19.21728684,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΤΕ2531,03/10/2019,02/04/2020,ΑΤΤΙΚΗ,56.25,39.06,8.2,2153
19.21728684,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΤΕ2531,02/10/2019,02/04/2020,ΑΤΤΙΚΗ,375.73,260.36,54.68,2153
