N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
6184690,GROUPAMA,ΖΩΗΣ,NA,21/10/2021,21/04/2022,ΑΤΤΙΚΗ,158.91,136.54,27.85,2139
12078631,GENERALI,ΖΩΗΣ,NA,26/12/2021,26/01/2022,ΑΤΤΙΚΗ,42.37,33.5,6.02,2139
15573546,ΕΘΝΙΚΗ Ασφαλιστική,ΖΩΗΣ,NA,01/11/2021,01/05/2022,ΑΤΤΙΚΗ,105.42,85.29,0,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,05/01/2021,05/04/2021,ΑΤΤΙΚΗ,79.55,67.65,13.79,2139
6187888,GROUPAMA,ΖΩΗΣ,NA,05/10/2021,05/10/2022,ΑΤΤΙΚΗ,136.34,118.57,23.71,2139
2021000909,ERGO A.A.E.Z,ΖΩΗΣ,NA,24/08/2021,24/11/2021,ΑΤΤΙΚΗ,110.7,89.8,16.69,2139
6171305,GROUPAMA,ΖΩΗΣ,NA,05/07/2021,05/07/2022,ΑΤΤΙΚΗ,60.63,45.85,9.17,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,05/10/2021,05/01/2022,ΑΤΤΙΚΗ,81.73,69.51,14.18,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/11/2021,24/12/2021,ΑΤΤΙΚΗ,38.89,30.75,4.3,2139
P0132005744,AIG,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΥΧ6915,09/09/2021,09/03/2022,ΑΤΤΙΚΗ,215.89,161.35,35.42,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,31/10/2021,31/01/2022,ΑΤΤΙΚΗ,79.55,67.65,13.79,2139
2021000909,ERGO A.A.E.Z,ΖΩΗΣ,NA,24/11/2021,24/02/2022,ΑΤΤΙΚΗ,110.7,89.8,16.69,2139
6184690,GROUPAMA,ΖΩΗΣ,NA,21/04/2021,21/10/2021,ΑΤΤΙΚΗ,158.9,136.54,27.85,2139
12078631,GENERALI,ΖΩΗΣ,NA,26/11/2021,26/12/2021,ΑΤΤΙΚΗ,77.1,33.5,6.02,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,05/07/2021,05/10/2021,ΑΤΤΙΚΗ,81.73,69.51,14.18,2139
15656374,ΕΘΝΙΚΗ Ασφαλιστική,ΖΩΗΣ,NA,31/12/2021,31/03/2022,ΑΤΤΙΚΗ,42.31,29.45,6.48,2139
6186319,GROUPAMA,ΖΩΗΣ,NA,19/07/2021,19/07/2022,ΑΤΤΙΚΗ,136.34,118.57,23.71,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/10/2021,24/04/2022,ΑΤΤΙΚΗ,38.890000000000015,30.75,4.309999999999999,2139
P0132005744,AIG,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΥΧ6915,09/03/2021,09/09/2021,ΑΤΤΙΚΗ,220.22,164.56,36.12,2139
6175638,GROUPAMA,ΖΩΗΣ,NA,31/01/2021,31/01/2022,ΑΤΤΙΚΗ,59.38,44.9,8.98,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,31/07/2021,31/10/2021,ΑΤΤΙΚΗ,79.55,67.65,13.79,2139
2021000909,ERGO A.A.E.Z,ΖΩΗΣ,NA,24/05/2021,24/08/2021,ΑΤΤΙΚΗ,110.7,89.8,16.69,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/12/2021,24/01/2022,ΑΤΤΙΚΗ,38.89,30.75,4.3,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,30/04/2021,31/07/2021,ΑΤΤΙΚΗ,79.55,67.65,13.79,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,31/01/2021,30/04/2021,ΑΤΤΙΚΗ,79.55,67.65,13.79,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/04/2021,24/10/2021,ΑΤΤΙΚΗ,237.99,188.2,26.33,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,05/04/2021,05/07/2021,ΑΤΤΙΚΗ,79.55,67.65,13.79,2139
19012859150,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΧ4354,25/04/2021,25/10/2021,NA,132,89.66,19.74,1864
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/12/2021,24/03/2022,ΑΤΤΙΚΗ,84,57.06,12.56,1859
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/09/2021,24/12/2021,ΑΤΤΙΚΗ,84,57.06,12.56,1859
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/03/2021,24/09/2021,ΑΤΤΙΚΗ,164,111.06,24.46,1859
19015189607,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΧΜ1638,17/12/2021,17/12/2022,NA,468,319.2,70.23,1158
19013526395,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΡΜ3019,20/05/2021,20/05/2022,NA,213,144,31.68,1970
21887153,ALLIANZ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΑΚ3993,06/02/2021,06/02/2022,ΗΛΕΙΑΣ,168.96,120.8,22.95,2026
11760987,GENERALI,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,19/08/2021,19/02/2022,NA,115.06,87,18.27,2131
11760987,GENERALI,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,19/02/2021,19/08/2021,NA,115.06,87,18.27,2131
103730345,ALLIANZ ΕΥΡΩΠΑΙΚΗ ΠΙΣΤΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΙΒ7883,03/04/2021,03/10/2021,ΑΙΤΩΛΟΚΑΡΝΑΝΙΑ,138.25,92.74,18.54,2211
30144598,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΟ4029,02/10/2021,02/10/2022,ΑΤΤΙΚΗ,243.12,166.6,36.65,1891
31350710,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΜΕ6273,09/12/2021,09/12/2022,ΑΤΤΙΚΗ,128.44,87.65,19.28,1925
