N_Policy,Company,Category,Char,Started,Expired,District,Gender,Gross,Net,Commissions,id
935246,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΗΒ7785,12/06/2023,12/06/2024,ΑΤΤΙΚΗΣ,1,22,15.3,0.61,372
19.22022312,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΟ,ΑΟΑ262,14/01/2023,14/01/2024,ΑΤΤΙΚΗΣ,1,92.7,63.66,15.28,813
885848,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΑΟΑ262,14/01/2023,14/01/2024,ΑΤΤΙΚΗΣ,1,20,13.91,0.63,813
464467,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΚΡΝ6999,06/03/2023,06/09/2023,ΑΤΤΙΚΗΣ,2,2.5,1.81,0.43,646
1764276,ΑΤΛΑΝΤΙΚΗ ΕΝΩΣΗ,ΑΥΤΟΚΙΝΗΤΟ,ΚΡΝ6999,06/09/2023,06/03/2024,ΑΤΤΙΚΗΣ,2,79.5,51.59,6.71,646
237111,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΚΡΝ6999,06/09/2023,06/03/2024,ΑΤΤΙΚΗΣ,2,1.5,1,0.24,646
947153,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΚΡΝ6999,06/09/2023,06/03/2024,ΑΤΤΙΚΗΣ,2,12,8.34,2.17,646
401333,ETU Forsikring A/S,ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ,ΚΡΝ6999,06/09/2023,06/03/2024,ΑΤΤΙΚΗΣ,2,10,6.8,1.02,646
914675,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΚΡΝ6999,06/03/2023,06/09/2023,ΑΤΤΙΚΗΣ,2,11,7.66,0.31,646
200688,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΚΡΝ6999,06/03/2023,06/09/2023,ΑΤΤΙΚΗΣ,2,1.5,1,0.24,646
598351,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΚΡΝ6999,06/09/2023,06/03/2024,ΑΤΤΙΚΗΣ,2,2.5,1.81,0.43,646
1764276,ΑΤΛΑΝΤΙΚΗ ΕΝΩΣΗ,ΑΥΤΟΚΙΝΗΤΟ,ΚΡΝ6999,06/03/2023,06/09/2023,ΑΤΤΙΚΗΣ,2,76,49.42,6.42,646
304671,ETU Forsikring A/S,ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ,ΚΡΝ6999,06/03/2023,06/09/2023,ΑΤΤΙΚΗΣ,2,9,6.12,0.92,646
418796,ETU Forsikring A/S,ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ,ΙΒΖ3002,14/09/2023,14/09/2024,ΑΤΤΙΚΗΣ,0,20,13.59,2.04,1580
HGR2023364606804870-1,Hellas Direct,ΑΥΤΟΚΙΝΗΤΟ,ΙΒΖ3002,14/09/2023,14/09/2024,ΑΤΤΙΚΗΣ,0,118.34,101.86,12.73,1580
