N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
6171303,GROUPAMA,ΖΩΗΣ,NA,05/07/2020,05/10/2020,ΑΤΤΙΚΗ,79.55,67.65,13.79,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,05/04/2020,05/07/2020,ΑΤΤΙΚΗ,78.12,66.44,16.91,2139
6173687,GROUPAMA,ΖΩΗΣ,NA,20/05/2020,20/08/2020,ΑΤΤΙΚΗ,95.01,80.8,16.56,2139
6173687,GROUPAMA,ΖΩΗΣ,NA,20/11/2020,20/02/2021,ΑΤΤΙΚΗ,96.77,82.3,16.87,2139
6173440,GROUPAMA,ΖΩΗΣ,NA,22/10/2020,22/10/2021,ΑΤΤΙΚΗ,59.38,44.9,8.98,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,30/04/2020,30/07/2020,ΑΤΤΙΚΗ,78.12,66.44,13.54,2139
6173687,GROUPAMA,ΖΩΗΣ,NA,20/02/2020,20/05/2020,ΑΤΤΙΚΗ,95.01,80.8,16.56,2139
11830812,GENERALI,ΖΩΗΣ,NA,07/10/2020,07/10/2021,ΑΤΤΙΚΗ,682.5,545.8,115.45,2139
6173687,GROUPAMA,ΖΩΗΣ,NA,20/08/2020,20/11/2020,ΑΤΤΙΚΗ,95.01,80.8,16.56,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,31/10/2020,31/01/2021,ΑΤΤΙΚΗ,78.12,66.44,13.54,2139
6172320,GROUPAMA,ΖΩΗΣ,NA,23/09/2020,23/09/2021,ΑΤΤΙΚΗ,311.2,270.61,55.19,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,05/10/2020,05/01/2021,ΑΤΤΙΚΗ,79.55,67.65,13.79,2139
P0132005744,AIG,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΥΧ6915,09/09/2020,09/03/2021,ΑΤΤΙΚΗ,224.53,167.81,36.83,2139
6171303,GROUPAMA,ΖΩΗΣ,NA,09/01/2020,09/04/2020,ΑΤΤΙΚΗ,78.12,66.44,16.91,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,31/01/2020,30/04/2020,ΑΤΤΙΚΗ,78.11,66.44,13.54,2139
6171305,GROUPAMA,ΖΩΗΣ,NA,05/07/2020,05/07/2021,ΑΤΤΙΚΗ,59.38,44.9,8.98,2139
6175638,GROUPAMA,ΖΩΗΣ,NA,31/01/2020,31/01/2021,ΑΤΤΙΚΗ,58.16,43.99,8.8,2139
6172347,GROUPAMA,ΖΩΗΣ,NA,23/09/2020,23/09/2021,ΑΤΤΙΚΗ,59.38,44.9,8.98,2139
6175637,GROUPAMA,ΖΩΗΣ,NA,31/07/2020,31/10/2020,ΑΤΤΙΚΗ,78.12,66.44,13.54,2139
19014301489,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΗΕ9073,09/11/2020,09/11/2021,NA,233,157.89,34.74,1009
19012859150,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΧ4354,25/10/2020,25/04/2021,NA,129,87.63,19.29,1864
19012859150,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΧ4354,25/04/2020,25/10/2020,NA,129,87.63,19.29,1864
19.218289039999998,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΗ4561,03/09/2020,03/12/2020,ΑΤΤΙΚΗ,75.59,52.05,10.93,1055
19.218289039999998,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΗ4561,03/03/2020,03/06/2020,ΑΤΤΙΚΗ,75.59,52.05,10.93,1055
19.218289039999998,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΗ4561,03/06/2020,03/09/2020,ΑΤΤΙΚΗ,75.59,52.05,10.93,1055
