N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
209206542,ALLIANZ ΕΥΡΩΠΑΙΚΗ ΠΙΣΤΗ,ΖΩΗΣ,NA,16/06/2024,16/09/2024,ΑΤΤΙΚΗ,135.73,100.09,26.77,2634
209206543,ALLIANZ ΕΥΡΩΠΑΙΚΗ ΠΙΣΤΗ,ΖΩΗΣ,NA,16/06/2024,16/09/2024,ΑΤΤΙΚΗ,135.53,99.89,26.77,2634
209206542,ALLIANZ ΕΥΡΩΠΑΙΚΗ ΠΙΣΤΗ,ΖΩΗΣ,NA,16/03/2024,16/06/2024,ΑΤΤΙΚΗ,135.73,100.09,26.77,2634
85526,ALLIANZ ΕΥΡΩΠΑΙΚΗ ΠΙΣΤΗ,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,27/01/2024,27/01/2025,ΑΤΤΙΚΗ,52,37.68,11.3,2634
209206543,ALLIANZ ΕΥΡΩΠΑΙΚΗ ΠΙΣΤΗ,ΖΩΗΣ,NA,16/03/2024,16/06/2024,ΑΤΤΙΚΗ,135.53,99.89,26.77,2634
6198332,GROUPAMA,ΖΩΗΣ,NA,18/04/2024,18/04/2025,ΑΤΤΙΚΗ,379.45,329.96,83.67,2139
6204196,GROUPAMA,ΖΩΗΣ,NA,09/04/2024,09/07/2024,ΑΤΤΙΚΗ,129.73,110.33,32.96,2139
6191537,GROUPAMA,ΖΩΗΣ,NA,01/06/2024,01/06/2025,ΑΤΤΙΚΗ,162.38,141.2,35.3,2139
6188787,GROUPAMA,ΖΩΗΣ,NA,09/03/2024,09/06/2024,ΑΤΤΙΚΗ,111.46,94.79,24.12,2139
50070112,GENERALI,ΖΩΗΣ,NA,27/06/2024,27/07/2024,ΑΤΤΙΚΗ,57.64,57.35,0,2139
DCI-231100014,HDI,ΖΩΗΣ,NA,06/03/2024,06/04/2024,ΑΤΤΙΚΗ,221.48,190.41,24.75,2139
6199270,GROUPAMA,ΖΩΗΣ,NA,09/06/2024,09/06/2025,ΑΤΤΙΚΗ,414.7,360.61,91.64,2139
6168799,GROUPAMA,ΖΩΗΣ,NA,05/03/2024,05/03/2025,ΑΤΤΙΚΗ,67.23,50.84,12.71,2139
6191520,GROUPAMA,ΖΩΗΣ,NA,01/06/2024,01/09/2024,ΑΤΤΙΚΗ,92.24,78.45,19.87,2139
6203057,GROUPAMA,ΖΩΗΣ,NA,01/02/2024,01/02/2025,ΑΤΤΙΚΗ,119.71,104.1,27.07,2139
DCI-231100014,HDI,ΖΩΗΣ,NA,06/01/2024,06/02/2024,ΑΤΤΙΚΗ,221.48,190.41,24.75,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/01/2024,24/02/2024,ΑΤΤΙΚΗ,44.06,34.84,5.33,2139
6203606,GROUPAMA,ΖΩΗΣ,NA,29/01/2024,29/01/2025,ΑΤΤΙΚΗ,390.02,339.15,86.06,2139
6203137,GROUPAMA,ΖΩΗΣ,NA,30/01/2024,30/01/2025,ΑΤΤΙΚΗ,390.02,339.15,86.06,2139
6188787,GROUPAMA,ΖΩΗΣ,NA,09/06/2024,09/09/2024,ΑΤΤΙΚΗ,111.46,94.79,24.12,2139
6187150,GROUPAMA,ΖΩΗΣ,NA,20/03/2024,20/09/2024,ΑΤΤΙΚΗ,180.99,155.51,39.38,2139
6199271,GROUPAMA,ΖΩΗΣ,NA,09/06/2024,09/06/2025,ΑΤΤΙΚΗ,162.38,141.2,35.3,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/04/2024,24/05/2024,ΑΤΤΙΚΗ,48.33,38.21,5.53,2139
50070112,GENERALI,ΖΩΗΣ,NA,27/04/2024,27/05/2024,ΑΤΤΙΚΗ,57.64,57.35,0,2139
6192389,GROUPAMA,ΖΩΗΣ,NA,06/06/2024,06/06/2025,ΑΤΤΙΚΗ,737.04,640.91,164.52,2139
6196509,GROUPAMA,ΖΩΗΣ,NA,30/01/2024,30/04/2024,ΑΤΤΙΚΗ,92.24,78.45,19.87,2139
6190417,GROUPAMA,ΖΩΗΣ,NA,21/06/2024,21/09/2024,ΑΤΤΙΚΗ,91.43,77.75,19.69,2139
6191722,GROUPAMA,ΖΩΗΣ,NA,30/05/2024,30/05/2025,ΑΤΤΙΚΗ,658.15,572.31,146.69,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/02/2024,24/03/2024,ΑΤΤΙΚΗ,44.06,34.84,5.33,2139
50070112,GENERALI,ΖΩΗΣ,NA,27/02/2024,27/03/2024,ΑΤΤΙΚΗ,57.64,57.35,0,2139
16292211,ΕΘΝΙΚΗ Ασφαλιστική,ΖΩΗΣ,NA,10/02/2024,10/03/2024,ΑΤΤΙΚΗ,55.56,48.31,13.05,2139
16292211,ΕΘΝΙΚΗ Ασφαλιστική,ΖΩΗΣ,NA,10/03/2024,10/04/2024,ΑΤΤΙΚΗ,55.56,48.31,13.05,2139
11529325,GENERALI,ΖΩΗΣ,NA,24/03/2024,24/04/2024,ΑΤΤΙΚΗ,44.06,34.84,5.33,2139
DCI-240100006,HDI,ΖΩΗΣ,NA,16/04/2024,16/05/2024,ΑΤΤΙΚΗ,174.14,149.25,19.4,2139
16063463,ΕΘΝΙΚΗ Ασφαλιστική,ΖΩΗΣ,NA,13/06/2024,13/07/2024,ΑΤΤΙΚΗ,46.87,40.76,6.76,2139
6187148,GROUPAMA,ΖΩΗΣ,NA,20/03/2024,20/09/2024,ΑΤΤΙΚΗ,180.99,155.51,39.38,2139
DCI-240100006,HDI,ΖΩΗΣ,NA,16/03/2024,16/04/2024,ΑΤΤΙΚΗ,174.14,149.25,19.4,2139
16292211,ΕΘΝΙΚΗ Ασφαλιστική,ΖΩΗΣ,NA,10/01/2024,10/02/2024,ΑΤΤΙΚΗ,55.56,48.31,13.05,2139
DCI-240100006,HDI,ΖΩΗΣ,NA,16/05/2024,16/06/2024,ΑΤΤΙΚΗ,174.14,149.25,19.4,2139
6190417,GROUPAMA,ΖΩΗΣ,NA,21/03/2024,21/06/2024,ΑΤΤΙΚΗ,91.43,77.75,19.69,2139
50070112,GENERALI,ΖΩΗΣ,NA,27/03/2024,27/04/2024,ΑΤΤΙΚΗ,57.64,57.35,0,2139
16063463,ΕΘΝΙΚΗ Ασφαλιστική,ΖΩΗΣ,NA,13/05/2024,13/06/2024,ΑΤΤΙΚΗ,46.87,40.76,6.76,2139
