"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"518008","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΗΕ9073","09/11/2021","09/11/2022","17124","ΝΕΑ ΣΜΥΡΝΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",18,12.52,0.63,1009
"419215114","UNIQUE","ΑΥΤΟΚΙΝΗΤΟ","ΖΗΕ9073","09/11/2021","09/11/2022","17124","ΝΕΑ ΣΜΥΡΝΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",202.99,172.23,9.94,1009
"424741","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΜΤ7936","30/06/2021","30/06/2022","20006","ΒΡΑΧΑΤΙ","ΚΟΡΙΝΘΙΑΣ","VOLKSWAGEN","ΕΙΧ","1",18,12.52,0.63,796
"32767466","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΜΤ7936","30/06/2021","30/06/2022","20006","ΒΡΑΧΑΤΙ","ΚΟΡΙΝΘΙΑΣ","VOLKSWAGEN","ΕΙΧ","1",118.45,81.08,8.11,796
"185503","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΜΤ7936","30/06/2021","30/06/2022","20006","ΒΡΑΧΑΤΙ","ΚΟΡΙΝΘΙΑΣ","VOLKSWAGEN","ΕΙΧ","1",5,3.62,0.8,796
"136780","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΧΜ1013","01/01/2021","01/01/2022","25100","ΑΙΓΙΟ","ΑΧΑΙΑΣ","PEUGEOT","ΕΙΧ","1",5,3.62,0.8,661
"321702","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΑΧΜ1013","01/01/2021","01/01/2022","25100","ΑΙΓΙΟ","ΑΧΑΙΑΣ","PEUGEOT","ΕΙΧ","1",20,13.91,0.63,661
"32571730","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΑΧΜ1013","01/01/2021","01/01/2022","25100","ΑΙΓΙΟ","ΑΧΑΙΑΣ","PEUGEOT","ΕΙΧ","1",118,80.74,8.07,661
"78659","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΑΧΜ1013","01/01/2021","01/01/2022","25100","ΑΙΓΙΟ","ΑΧΑΙΑΣ","PEUGEOT","ΕΙΧ","1",3,2.01,0.44,661
"32848047","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΖΒ9947","14/09/2021","14/03/2022","64100","ΕΛΕΥΘΕΡΟΥΠΟΛΗ","ΚΑΒΑΛΑΣ","FORD","ΕΙΧ","1",68.71,47,4.7,487
