"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"518454","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΡΟ8522","09/11/2021","09/11/2022","14235","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",18,12.52,0.63,636
"61325360","GROUPAMA","ΑΥΤΟΚΙΝΗΤΟ","ΥΡΟ8522","09/11/2021","09/11/2022","14235","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",165.49,118.32,24.64,636
"106118","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΥΡΟ8522","09/11/2021","09/11/2022","14235","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",18,12.23,1.59,636
"129329","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΗΖ4866","27/01/2021","27/07/2021","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",2.5,1.81,0.4,464
"32111840","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΗΖ4866","27/01/2021","27/07/2021","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",104.43,71.39,7.14,464
"32797247","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΗΖ4866","27/07/2021","27/07/2022","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",159.28,108.93,10.89,464
"307741","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΗΖ4866","27/01/2021","27/07/2021","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",11,7.66,0.31,464
"190904","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΗΖ4866","27/07/2021","27/07/2022","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",5,3.62,0.8,464
"439391","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΗΖ4866","27/07/2021","27/07/2022","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",18,12.52,0.63,464
"32606735","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΡΙΚ6470","04/08/2021","04/02/2022","41335","ΛΑΡΙΣΑ","ΛΑΡΙΣΑΣ","NISSAN","ΕΙΧ","1",61.64,42.1,4.21,933
"231822","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΙΡ3460","03/12/2021","03/12/2022","30100","ΑΓΡΙΝΙΟ","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","OPEL","ΕΙΧ","1",5,3.62,0.8,912
"32940680","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΑΙΡ3460","03/12/2021","03/12/2022","30100","ΑΓΡΙΝΙΟ","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","OPEL","ΕΙΧ","1",173.47,119.14,11.91,912
"32846128","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΒΝ6229","11/09/2021","11/09/2022","17343","ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ","ΑΤΤΙΚΗΣ","SUZUKI","ΕΙΧ","1",207.71,142.62,14.26,872
"205834","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΒΝ6229","11/09/2021","11/09/2022","17343","ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ","ΑΤΤΙΚΗΣ","SUZUKI","ΕΙΧ","1",4,2.9,0,872
"130015","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΟΟ3553","03/01/2021","03/01/2022","15124","ΜΑΡΟΥΣΙ","ΑΤΤΙΚΗΣ","SMART","ΕΙΧ","2",5,3.62,0.8,457
"32099394","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΟΟ3553","03/01/2021","03/01/2022","15124","ΜΑΡΟΥΣΙ","ΑΤΤΙΚΗΣ","SMART","ΕΙΧ","2",467.82,321.83,32.18,457
"162605","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΜΡ5232","06/05/2021","06/11/2021","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",2.5,1.81,0.4,167
"373485","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΜΡ5232","06/05/2021","06/11/2021","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",11,7.66,0.31,167
"91103","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΜΡ5232","06/05/2021","06/11/2021","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",1.5,1,0.22,167
"32232797","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΜΡ5232","06/05/2021","06/11/2021","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",105.52,72.11,7.21,167
"224174","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΥΥ9022","27/12/2021","27/12/2022","11525","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","1",5,3.62,0.8,218
"31693824","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΥΥ9022","27/12/2021","27/12/2022","11525","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","1",262.09,179.91,17.99,218
"142951","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΥΚ7739","16/02/2021","16/05/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",1.25,0.91,0.2,244
"61238854","GROUPAMA","ΑΥΤΟΚΙΝΗΤΟ","ΖΥΚ7739","16/02/2021","16/05/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",54.29,38.76,8.28,244
"39464","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΖΥΚ7739","16/02/2021","16/05/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",4.5,3.05,0.4,244
"53423","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΖΥΚ7739","16/05/2021","16/08/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",4.5,3.05,0.4,244
"335550","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΥΚ7739","16/02/2021","16/05/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",5,3.48,0.16,244
"377815","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΥΚ7739","16/05/2021","16/08/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",5,3.48,0.16,244
"83059","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΖΥΚ7739","17/08/2021","17/11/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",4.5,3.05,0.4,244
"164855","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΥΚ7739","16/05/2021","16/08/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",1.25,0.91,0.2,244
"61238854","GROUPAMA","ΑΥΤΟΚΙΝΗΤΟ","ΖΥΚ7739","16/05/2021","16/08/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",56.07,40.06,8.56,244
"M20210821686-1","Hellas Direct","ΑΥΤΟΚΙΝΗΤΟ","ΖΥΚ7739","17/08/2021","16/11/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",57.5,49.57,5.7,244
"458109","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΥΚ7739","17/08/2021","17/11/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",4.5,3.13,0.16,244
"32374346","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΧΤ5246","05/02/2021","05/08/2021","14123","ΛΥΚΟΒΡΥΣΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",105.17,71.88,7.19,36
"136597","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΧΤ5246","05/02/2021","05/08/2021","14123","ΛΥΚΟΒΡΥΣΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",2.5,1.81,0.4,36
"321369","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΧΤ5246","05/02/2021","05/08/2021","14123","ΛΥΚΟΒΡΥΣΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",10,6.96,0.31,36
"78564","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΧΤ5246","05/02/2021","05/08/2021","14123","ΛΥΚΟΒΡΥΣΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",1.5,1,0.22,36
"140940","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΕΜΗ8713","15/01/2021","15/01/2022","84400","ΠΑΡΟΣ","ΚΥΚΛΑΔΩΝ","SKODA","ΕΙΧ","1",5,3.62,0.8,615
"AIE0055816","Accredited Insurance (Europe) Limited","ΑΥΤΟΚΙΝΗΤΟ","ΕΜΗ8713","15/01/2021","15/01/2022","84400","ΠΑΡΟΣ","ΚΥΚΛΑΔΩΝ","SKODA","ΕΙΧ","1",99.65,66.83,10.69,615
"419157999","UNIQUE","ΑΥΤΟΚΙΝΗΤΟ","ΕΜΗ8728","25/01/2021","25/01/2022","84400","ΠΑΡΟΣ","ΚΥΚΛΑΔΩΝ","SKODA","ΕΙΧ","1",93.88,68.89,14.47,615
"32933563","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΕΜΗ8723","26/11/2021","26/11/2022","84400","ΠΑΡΟΣ","ΚΥΚΛΑΔΩΝ","SKODA","ΕΙΧ","1",79.39,54.22,5.42,615
"71633","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΥΗΕ8714","07/08/2021","07/02/2022","11741","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","1",10,6.8,0.88,193
"80381","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΗΕ8714","07/02/2021","07/08/2021","11741","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","1",1.5,1,0.22,193
"5136895","Eurolife FFH","ΑΥΤΟΚΙΝΗΤΟ","ΥΗΕ8714","07/08/2021","07/02/2022","11741","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","1",115.01,78.73,17.32,193
"5136895","Eurolife FFH","ΑΥΤΟΚΙΝΗΤΟ","ΥΗΕ8714","07/02/2021","07/08/2021","11741","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","1",112.2,76.8,16.9,193
"36857","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΥΗΕ8714","07/02/2021","07/08/2021","11741","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","1",10,6.8,0.88,193
"103081","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΗΕ8714","07/08/2021","07/02/2022","11741","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","1",1.5,1,0.22,193
"140552","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΗΕ8714","07/02/2021","07/08/2021","11741","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","1",2.5,1.81,0.4,193
"186925","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΗΕ8714","07/08/2021","07/02/2022","11741","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","HYUNDAI","ΕΙΧ","1",2.5,1.81,0.4,193
"32672581","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΖΡ8885","15/04/2021","15/04/2022","20200","ΚΙΑΤΟ","ΚΟΡΙΝΘΙΑΣ","HONDA","ΕΙΧ","1",156.98,107.37,10.74,740
"159203","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΖΡ8885","15/04/2021","15/04/2022","20200","ΚΙΑΤΟ","ΚΟΡΙΝΘΙΑΣ","HONDA","ΕΙΧ","1",5,3.62,0.8,740
"89376","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΖΡ8885","15/04/2021","15/04/2022","20200","ΚΙΑΤΟ","ΚΟΡΙΝΘΙΑΣ","HONDA","ΕΙΧ","1",3,2.01,0.44,740
"366091","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΖΡ8885","15/04/2021","15/04/2022","20200","ΚΙΑΤΟ","ΚΟΡΙΝΘΙΑΣ","HONDA","ΕΙΧ","1",18,12.52,0.63,740
"61455093","ΕΘΝΙΚΗ Ασφαλιστική","ΑΥΤΟΚΙΝΗΤΟ","ΖΚΑ7505","14/09/2021","14/03/2022","15772","ΖΩΓΡΑΦΟΣ","ΑΤΤΙΚΗΣ","SKODA","ΕΙΧ","1",102.12,72.87,12.93,599
"61455093","ΕΘΝΙΚΗ Ασφαλιστική","ΑΥΤΟΚΙΝΗΤΟ","ΖΚΑ7505","14/03/2021","14/09/2021","15772","ΖΩΓΡΑΦΟΣ","ΑΤΤΙΚΗΣ","SKODA","ΕΙΧ","1",106.36,75.88,13.48,599
"174897","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΖΑ2882","01/06/2021","01/12/2021","11142","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","BMW",NA,"1",2.5,1.81,0.4,779
"97170","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΖΑ2882","01/06/2021","01/12/2021","11142","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","BMW",NA,"1",1.5,1,0.22,779
"32734988","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΖΑ2882","01/06/2021","01/12/2021","11142","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","BMW",NA,"1",92.62,63.35,6.34,779
"401525","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΖΑ2882","01/06/2021","01/12/2021","11142","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","BMW",NA,"1",9,6.26,0.31,779
"184274","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΚΝ1811","24/08/2021","24/08/2022","17343","ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ","ΑΤΤΙΚΗΣ","LEXUS","ΕΙΧ","1",5,3.62,0.8,69
"32401886","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΚΝ1811","24/08/2021","24/08/2022","17343","ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ","ΑΤΤΙΚΗΣ","LEXUS","ΕΙΧ","1",301.55,206.68,20.67,69
"32769474","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΡΥ8990","11/07/2021","11/01/2022","16341","ΗΛΙΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","RENAULT","ΕΙΧ","1",116.5,79.9,7.99,798
"186074","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΡΥ8990","11/07/2021","11/01/2022","16341","ΗΛΙΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","RENAULT","ΕΙΧ","1",2.5,1.81,0.4,798
"331852","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΤΡ4696","24/01/2021","24/01/2022","19100","ΜΕΓΑΡΑ","ΑΤΤΙΚΗΣ","CHRYSLER",NA,"1",20,13.91,0.63,674
"81021","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΤΡ4696","24/01/2021","24/01/2022","19100","ΜΕΓΑΡΑ","ΑΤΤΙΚΗΣ","CHRYSLER",NA,"1",3,2.01,0.44,674
"38210","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΥΤΡ4696","24/01/2021","24/01/2022","19100","ΜΕΓΑΡΑ","ΑΤΤΙΚΗΣ","CHRYSLER",NA,"1",18,12.23,1.59,674
"141701","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΤΡ4696","24/01/2021","24/01/2022","19100","ΜΕΓΑΡΑ","ΑΤΤΙΚΗΣ","CHRYSLER",NA,"1",5,3.62,0.8,674
"19.220288310000001","INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ","ΑΥΤΟΚΙΝΗΤΟ","ΥΤΡ4696","24/01/2021","24/01/2022","19100","ΜΕΓΑΡΑ","ΑΤΤΙΚΗΣ","CHRYSLER",NA,"1",171.39,117.98,25.95,674
"211989","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΖΒ1194","08/11/2021","08/11/2022","16342","ΗΛΙΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","HONDA","ΕΙΧ","1",5,3.62,0.8,229
"32485991","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΖΒ1194","08/11/2021","08/11/2022","16342","ΗΛΙΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","HONDA","ΕΙΧ","1",214.03,146.83,14.68,229
"211587","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΡΡ6092","20/11/2021","20/05/2022","17674","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","MERCEDES","ΕΙΧ","1",2.5,1.81,0.4,771
"32712419","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΡΡ6092","20/11/2021","20/05/2022","17674","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","MERCEDES","ΕΙΧ","1",131.9,90.62,9.06,771
"172665","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΡΡ6092","20/05/2021","20/11/2021","17674","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","MERCEDES-BENZ","ΕΙΧ","1",2.5,1.81,0.4,771
"32712419","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΡΡ6092","20/05/2021","20/11/2021","17674","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","MERCEDES-BENZ","ΕΙΧ","1",132.04,90.7,9.07,771
"92807","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΖΚΗ7836","24/06/2021","24/06/2022","17672","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FIAT","ΕΙΧ","1",3,2.01,0.44,544
"165993","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΚΗ7836","24/06/2021","24/06/2022","17672","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FIAT","ΕΙΧ","1",5,3.62,0.8,544
"32310890","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΚΗ7836","24/06/2021","24/06/2022","17672","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FIAT","ΕΙΧ","1",161.49,110.28,11.03,544
"380940","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΚΗ7836","24/06/2021","24/06/2022","17672","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FIAT","ΕΙΧ","1",22,15.3,0.61,544
"222253","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΗΤ1364","25/12/2021","25/12/2022","16122","ΚΑΙΣΑΡΙΑΝΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",5,3.62,0.8,262
"118458","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΗΤ1364","25/12/2021","25/12/2022","16122","ΚΑΙΣΑΡΙΑΝΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",3,2.01,0.44,262
"32522669","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΗΤ1364","25/12/2021","25/12/2022","16122","ΚΑΙΣΑΡΙΑΝΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",137.16,93.81,9.38,262
"514012","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΗΤ1364","25/12/2021","25/12/2022","16122","ΚΑΙΣΑΡΙΑΝΗ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",20,13.91,0.63,262
"174730","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΜΙ4106","21/06/2021","21/12/2021","19010","ΚΑΛΥΒΙΑ ΘΟΡΙΚΟΥ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",2.5,1.81,0.4,269
"61244521","GROUPAMA","ΑΥΤΟΚΙΝΗΤΟ","ΖΜΙ4106","21/06/2021","21/12/2021","19010","ΚΑΛΥΒΙΑ ΘΟΡΙΚΟΥ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",115.55,82.57,17.7,269
"401236","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΜΙ4106","21/06/2021","21/12/2021","19010","ΚΑΛΥΒΙΑ ΘΟΡΙΚΟΥ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",10,6.96,0.31,269
"67868","ETU Forsikring A/S","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΖΜΙ4106","21/06/2021","21/12/2021","19010","ΚΑΛΥΒΙΑ ΘΟΡΙΚΟΥ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",9,6.12,0.8,269
"368456","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΟΡΕ4804","15/04/2021","15/04/2022","30001","ΝΕΟΧΩΡΙ ΑΙΤΩΛ.ΝΙΑΣ","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","PEUGEOT","ΕΙΧ","1",18,12.52,0.63,180
"89908","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΟΡΕ4804","15/04/2021","15/04/2022","30001","ΝΕΟΧΩΡΙ ΑΙΤΩΛ.ΝΙΑΣ","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","PEUGEOT","ΕΙΧ","1",3,2.01,0.44,180
"159929","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΟΡΕ4804","15/04/2021","15/04/2022","30001","ΝΕΟΧΩΡΙ ΑΙΤΩΛ.ΝΙΑΣ","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","PEUGEOT","ΕΙΧ","1",5,3.62,0.8,180
